dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2024-01-31T07:30:00Z,2024-01-31T09:00:00Z,Cours-53777-32-M1-ILSEN-alt-GR1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-03-20T15:00:00Z,2024-03-20T18:00:00Z,Cours-53823-39-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 4 APPLICATION ARCHITECTUR,ROUVIER Mickael,TP,,ILSEN-ALT
2024-03-14T07:30:00Z,2024-03-14T10:30:00Z,Cours-53824-38-M1-ILSEN-alt-GR1-Index-Education,Stat 6 = Info - C 129,UCE 4 APPLICATION ARCHITECTUR,,TP,,ILSEN-ALT
2024-04-08T11:00:00Z,2024-04-08T14:00:00Z,Cours-53825-42-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 4 APPLICATION ARCHITECTUR,ROUVIER Mickael,TP,,ILSEN-ALT
2024-03-18T07:30:00Z,2024-03-18T10:30:00Z,Cours-53830-39-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 4 APPLICATION ARCHITECTUR,ROUVIER Mickael,TP,,ILSEN-ALT
2024-04-16T06:30:00Z,2024-04-16T09:30:00Z,Cours-53831-43-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 4 APPLICATION ARCHITECTUR,,TP,,ILSEN-ALT
2024-04-12T06:30:00Z,2024-04-12T09:30:00Z,Cours-53832-42-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 4 APPLICATION ARCHITECTUR,ROUVIER Mickael,TP,,ILSEN-ALT
2024-05-16T08:00:00Z,2024-05-16T11:00:00Z,Cours-53833-47-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 4 APPLICATION ARCHITECTUR,ROUVIER Mickael,TP,,ILSEN-ALT
2024-04-16T09:30:00Z,2024-04-16T11:00:00Z,Cours-76664-43-M1-ILSEN-alt-GR1-Index-Education,S3 = C 036,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-02-13T12:00:00Z,2024-02-13T15:00:00Z,Cours-53841-34-M1-ILSEN-alt-GR1-Index-Education,S6 = C 022,UCE 2 PROTOTYPAGE ET INTERFAC,CARIAS Patrick,CM,,ILSEN-ALT
2024-01-30T07:30:00Z,2024-01-30T09:00:00Z,Cours-53842-32-M1-ILSEN-alt-GR1-Index-Education,S6 = C 022,UCE 2 PROTOTYPAGE ET INTERFAC,CARIAS Patrick,CM,,ILSEN-ALT
2024-02-02T07:30:00Z,2024-02-02T09:00:00Z,Cours-53843-32-M1-ILSEN-alt-GR1-Index-Education,S5 = C 024,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,CM,,ILSEN-ALT
2024-02-09T07:30:00Z,2024-02-09T09:00:00Z,Cours-53843-33-M1-ILSEN-alt-GR1-Index-Education,S5 = C 024,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,CM,,ILSEN-ALT
2024-02-14T15:00:00Z,2024-02-14T18:00:00Z,Cours-53869-34-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,TP,,ILSEN-ALT
2024-03-04T12:00:00Z,2024-03-04T15:00:00Z,Cours-53879-37-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,TP,,ILSEN-ALT
2024-03-11T12:00:00Z,2024-03-11T15:00:00Z,Cours-53879-38-M1-ILSEN-alt-GR1-Index-Education,Stat 5 = Info - C 130,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,TP,,ILSEN-ALT
2024-03-20T12:00:00Z,2024-03-20T13:30:00Z,Cours-53882-39-M1-ILSEN-alt-GR1-Index-Education,Stat 2 = Info - C 136,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,TP,,ILSEN-ALT
2024-03-11T07:30:00Z,2024-03-11T10:30:00Z,Cours-53892-38-M1-ILSEN-alt-GR1-Index-Education,Stat 5 = Info - C 130,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,TP,,ILSEN-ALT
2024-03-23T14:00:00Z,2024-03-23T17:00:00Z,Cours-53895-39-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,TP,,ILSEN-ALT
2024-04-08T14:00:00Z,2024-04-08T17:00:00Z,Cours-53896-42-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,TP,,ILSEN-ALT
2024-01-30T09:00:00Z,2024-01-30T12:00:00Z,Cours-53898-32-M1-ILSEN-alt-GR1-Index-Education,S6 = C 022,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,CM,,ILSEN-ALT
2024-02-02T09:00:00Z,2024-02-02T12:00:00Z,Cours-53899-32-M1-ILSEN-alt-GR1-Index-Education,S5 = C 024,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,CM,,ILSEN-ALT
2024-04-09T11:00:00Z,2024-04-09T14:00:00Z,Cours-73555-42-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 4 APPLICATION ARCHITECTUR,ROUVIER Mickael,TP,,ILSEN-ALT
2024-02-15T07:30:00Z,2024-02-15T10:30:00Z,Cours-53939-34-M1-ILSEN-alt-GR1-Index-Education,Stat 2 = Info - C 136,UCE 3 PROCESSUS DU DEVELOPPEM,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-03-12T12:00:00Z,2024-03-12T15:00:00Z,Cours-53948-38-M1-ILSEN-alt-GR1-Index-Education,Stat 6 = Info - C 129,UCE 3 PROCESSUS DU DEVELOPPEM,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-02-06T07:30:00Z,2024-02-06T10:30:00Z,Cours-53957-33-M1-ILSEN-alt-GR1-Index-Education,Stat 2 = Info - C 136,UCE 3 PROCESSUS DU DEVELOPPEM,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-03-19T07:30:00Z,2024-03-19T10:30:00Z,Cours-53957-39-M1-ILSEN-alt-GR1-Index-Education,Stat 7 = Info - C 128,UCE 3 PROCESSUS DU DEVELOPPEM,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-03-19T10:30:00Z,2024-03-19T12:00:00Z,Cours-53964-39-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 3 PROCESSUS DU DEVELOPPEM,BONNEFOY Ludovic,Evaluation,,ILSEN-ALT
2024-03-05T13:30:00Z,2024-03-05T15:00:00Z,Cours-54276-37-M1-ILSEN-alt-GR1-Index-Education,S2 BIS = C 038,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-03-12T15:00:00Z,2024-03-12T16:30:00Z,Cours-54305-38-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 1 VEILLE TECHNOLOGIQUE,LEFEVRE Fabrice,TP,,ILSEN-ALT
2024-05-15T08:00:00Z,2024-05-15T11:00:00Z,Cours-54316-47-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 1 VEILLE TECHNOLOGIQUE,LEFEVRE Fabrice,TP,,ILSEN-ALT
2024-02-09T15:00:00Z,2024-02-09T18:00:00Z,Cours-73708-33-M1-ILSEN-alt-GR1-Index-Education,S6 = C 022,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,CM,,ILSEN-ALT
